segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,6,2007,100,L7,0.13155950048072337,0.06312396053172734,-0.1411367888835118,0.058223030330498846,-0.0367623749181198,0.040175792270250726,low - lower,very low - upper,low - lower
100m,6,2007,200,L7,0.15977027139284183,0.07667252878445131,-0.16557816796928745,0.06896072949663817,-0.060137605444402394,0.053907077537351286,low - lower,very low - upper,low - lower
100m,6,2007,300,L7,0.1674656593099727,0.07421148485086307,-0.1731219536703565,0.06608965858114807,-0.061235671706395906,0.05753597365817886,low - lower,very low - upper,low - lower
100m,6,2008,100,L7,0.14159774029117453,0.0686581509838973,-0.1492635194525437,0.06295556985351082,-0.0477786738238201,0.0509546644656867,low - lower,very low - upper,low - lower
100m,6,2008,200,L7,0.16558179472188256,0.079724904978551,-0.17013813161765054,0.07118754176677318,-0.06999449324303132,0.05922479806698357,low - lower,very low - upper,low - lower
100m,6,2008,300,L7,0.17338148982123067,0.07595678023540181,-0.17718674726743458,0.06727201039485316,-0.07323839734550436,0.05796226662879542,low - lower,very low - upper,low - lower
100m,6,2009,100,L7,0.10802519748287451,0.05149748469714009,-0.12967537026124581,0.04806863833674259,-0.004205995083835154,0.04489641989038836,low - lower,very low - upper,low - lower
100m,6,2009,200,L7,0.130375543578929,0.057713165435272565,-0.14857351948264347,0.0524964757996438,-0.019788688772115298,0.04295176928920428,low - lower,very low - upper,low - lower
100m,6,2009,300,L7,0.1371724152654045,0.05354052611761645,-0.156051250750093,0.04886103598928756,-0.02004413455606297,0.042660159576023406,low - lower,very low - upper,low - lower
100m,6,2010,100,L7,0.11472088471153359,0.05227374675007813,-0.13907661629828755,0.05059231038727037,-0.006383522934585466,0.04673989140485817,low - lower,very low - upper,low - lower
100m,6,2010,200,L7,0.14262939776001882,0.06378246705047019,-0.16159919023610536,0.057557016222893186,-0.030473193652024732,0.053196917788088216,low - lower,very low - upper,low - lower
100m,6,2010,300,L7,0.1526288452692343,0.06127229925778021,-0.17046448732554634,0.05445059478708214,-0.03596724478243713,0.053867074650290885,low - lower,very low - upper,low - lower
100m,6,2011,100,L7,0.12690141817336958,0.05352252929660581,-0.15111943433487526,0.050371691895163204,-0.020169894894167577,0.04377586470229217,low - lower,very low - upper,low - lower
100m,6,2011,200,L7,0.15743722198544666,0.0658656015364058,-0.17537644339672268,0.05901142144309378,-0.046105646704641345,0.050770643197702345,low - lower,very low - upper,low - lower
100m,6,2011,300,L7,0.16884783655400096,0.06369583963246665,-0.18544111833835744,0.05631309817472183,-0.05167810005090013,0.05172177282913307,low - lower,very low - upper,low - lower
100m,6,2012,100,L7,0.11387683195170246,0.05604259566400353,-0.13519547392999215,0.05595572938158951,-0.024190959307168875,0.040946474871636426,low - lower,very low - upper,low - lower
100m,6,2012,200,L7,0.11058910228451065,0.07954531564871273,-0.12469542155807635,0.0816975206412564,-0.0339162174932981,0.046954875163810784,low - lower,very low - upper,low - lower
100m,6,2012,300,L7,0.10937449245443093,0.08571472401025862,-0.12071491020991904,0.08821695457826902,-0.037500986585232605,0.04733925379365022,low - lower,very low - upper,low - lower
100m,6,2013,100,L7,0.1387479645965535,0.058580624099672546,-0.15731713861331403,0.05138888984939811,-0.03477139854045218,0.04849536639919382,low - lower,very low - upper,low - lower
100m,6,2013,200,L7,0.17362829497514964,0.07072608329153063,-0.18558536417689903,0.060921682028541466,-0.06086556708280039,0.05315968652382572,low - lower,very low - upper,low - lower
100m,6,2013,300,L7,0.16984587586476863,0.08295023123397247,-0.1791367143914998,0.07805625459522797,-0.06112699420383427,0.05213898178126172,low - lower,very low - upper,low - lower
100m,7,2007,100,L7,0.16236633052136643,0.060155908965116314,-0.16824880840782888,0.05424596426384391,-0.059798612744017245,0.04140606033736385,low - lower,very low - upper,low - lower
100m,7,2007,200,L7,0.16107653649963918,0.06939056194475819,-0.1676410831018535,0.06284172377572407,-0.0536025278515561,0.050532683649898776,low - lower,very low - upper,low - lower
100m,7,2007,300,L7,0.17001643637765274,0.0708500636937525,-0.1760977702408758,0.06357029950327979,-0.0546008649689296,0.05576132834548063,low - lower,very low - upper,low - lower
100m,7,2008,100,L7,0.17363165720021037,0.06396558840826888,-0.17629421823489694,0.05668202704334659,-0.07738743673763797,0.046157137736659616,low - lower,very low - upper,low - lower
100m,7,2008,200,L7,0.16863443080952967,0.0745362608906988,-0.17177900343015096,0.06715935941701663,-0.06828889892972831,0.054625241661366605,low - lower,very low - upper,low - lower
100m,7,2008,300,L7,0.17759621770218528,0.07458949433218579,-0.18079643325311326,0.0666704718972485,-0.06871775915072888,0.056075963055055925,low - lower,very low - upper,low - lower
100m,7,2009,100,L7,0.12771922816220724,0.04619137175024069,-0.1448650316622456,0.04347457568445994,-0.016072783067352013,0.03745805577966323,low - lower,very low - upper,low - lower
100m,7,2009,200,L7,0.12435697331255349,0.053629051983713066,-0.14467934475724042,0.04880933461726889,-0.00891189463787852,0.043254339549588496,low - lower,very low - upper,low - lower
100m,7,2009,300,L7,0.13397210678385815,0.05403649179746989,-0.15461250939911977,0.0494767005053658,-0.010012777606542702,0.04723988385627388,low - lower,very low - upper,low - lower
100m,7,2010,100,L7,0.1347297149047409,0.04592160127370455,-0.15578019069136,0.04241248620278808,-0.01985528150511771,0.04358133381275075,low - lower,very low - upper,low - lower
100m,7,2010,200,L7,0.13604319280710434,0.059229039723953984,-0.15693212409522436,0.053164567254551424,-0.018073604474093338,0.05205167856883102,low - lower,very low - upper,low - lower
100m,7,2010,300,L7,0.14672914568557385,0.05913986905726087,-0.16724998267556498,0.053206618005832804,-0.021911587573882146,0.05687136181771789,low - lower,very low - upper,low - lower
100m,7,2011,100,L7,0.15160324218421822,0.04649997671660938,-0.17124673222935605,0.04288129990736442,-0.039861449918727795,0.041925602840799936,low - lower,very low - upper,low - lower
100m,7,2011,200,L7,0.1537593522299887,0.0615349453769574,-0.17318216283215246,0.055193914715229726,-0.036775537839109966,0.04948620727455363,low - lower,very low - upper,low - lower
100m,7,2011,300,L7,0.16634860377092792,0.06316546684724074,-0.18453904984311656,0.05630675493437475,-0.042254405495542345,0.053220632557969584,low - lower,very low - upper,low - lower
100m,7,2012,100,L7,0.08557328665194372,0.07280377338459608,-0.09887037011382573,0.08071315537676516,-0.025854890760075317,0.036181131604208605,very low - upper,low - lower,low - lower
100m,7,2012,200,L7,0.07882444789110152,0.07805075481430825,-0.0900989619601673,0.08393159526805692,-0.02199812137145903,0.041537850164181926,very low - upper,low - lower,low - lower
100m,7,2012,300,L7,0.08197733308851587,0.08326356950772971,-0.09106074592715012,0.08812412874569091,-0.027614180536953473,0.04242644164066959,very low - upper,low - lower,low - lower
100m,7,2013,100,L7,0.17536563473950456,0.05379214466495032,-0.18631310152926361,0.044999107691992106,-0.06174822816306733,0.0417952492602232,low - lower,very low - upper,low - lower
100m,7,2013,200,L7,0.1701466216275299,0.0682063635222473,-0.18287054557154214,0.05853046624351168,-0.05290098594873746,0.05243131374328296,low - lower,very low - upper,low - lower
100m,7,2013,300,L7,0.1827808223514683,0.07213120932035388,-0.19384236090775486,0.06322620047149512,-0.05885241800525745,0.05413730180570555,low - lower,very low - upper,low - lower
